PT_NM,WMYR,WMOD,WMWK,ITEM_PH,ITEM_BOD,ITEM_COD,ITEM_TOC,ITEM_SS,ITEM_DOC,ITEM_TP,ITEM_TCOLI,ITEM_ECOLI,drink
금강천-1,2019,8,3회차,6.8,1.0,5.2,3.2,,9.2,,,,1
옥계교,2019,8,1회차,7.5,1.5,4.5,3.0,,7.9,,,,1
안양천3-1,2019,8,2회차,7.0,4.8,7.5,5.0,,5.1,,,,0
초이천,2019,8,2회차,8.0,1.8,5.2,3.1,,6.1,,,,1
C송정천,2019,8,1회차,7.8,1.7,4.4,3.5,,6.7,,,,1
동복천2,2019,8,1회차,8.6,0.6,2.0,1.9,,9.7,,,,0
대관대천,2019,8,1회차,7.4,0.5,2.0,1.3,,8.5,,,,1
남강4-1,2020,4,4회차,7.3,2.0,4.0,2.6,,10.3,,,,1
밀양강A,2020,4,1회차,8.1,1.2,3.7,2.5,,11.0,,,,1
밀양강A,2020,4,2회차,8.5,0.9,3.6,2.5,,11.6,,,,1
안망천,2020,4,2회차,7.8,0.7,2.1,1.9,,9.4,,,,1
말지천,2020,4,2회차,8.1,0.9,4.4,3.4,,11.4,,,,1
백천-1,2020,4,3회차,7.5,0.5,3.0,2.2,,11.7,,,,1
욱수천,2020,4,1회차,8.6,1.1,4.2,2.9,,13.8,,,,0
황강1-2,2020,4,2회차,7.5,2.0,3.8,2.5,,10.7,,,,1
신등천,2020,4,1회차,8.3,1.3,4.0,2.8,,12.8,,,,1
신등천,2020,4,2회차,7.9,1.2,4.2,3.1,,11.0,,,,1
성덕,2020,4,3회차,8.1,1.8,4.0,2.4,,11.5,,,,1
광산천,2020,4,1회차,8.6,2.3,3.7,3.1,,12.9,,,,0
탐진강,2019,8,2회차,6.8,0.5,3.8,2.4,,7.8,,,,1
수철천,2019,8,1회차,8.2,1.4,5.2,2.9,,8.1,,,,1
청지천,2019,8,1회차,8.7,4.9,7.5,5.7,,12.3,,,,0
장검천,2019,8,1회차,7.8,2.0,7.8,5.2,,7.3,,,,1
입장천,2019,8,1회차,8.7,6.8,7.6,4.6,,10.4,,,,0
지석천1,2019,8,1회차,8.2,2.7,4.3,2.5,,9.1,,,,0
탐진강1,2019,8,1회차,7.6,0.6,5.4,2.3,,8.5,,,,1
낙동강하구2,2019,8,15,8.4,3.3,6.6,3.6,,13.2,,,,0
구운천-1,2019,8,3회차,8.3,0.8,2.8,1.4,,9.5,,,,1
망월천,2019,8,1회차,8.5,3.5,6.5,3.7,,8.4,,,,0
양재천,2019,8,4회차,8.0,1.3,4.2,1.5,,7.7,,,,1
원평천2,2019,8,1회차,8.9,4.5,11.4,4.1,,10.7,,,,0
적성,2019,8,4회차,8.6,0.4,4.4,2.5,,8.2,,,,0
경천지1,2019,8,15,8.7,0.9,2.4,2.3,,4.6,,,,0
안양천1A,2020,5,4회차,7.2,4.5,6.9,4.5,,7.3,,,,0
벽계천-1,2020,5,2회차,8.7,0.9,2.0,1.4,,10.2,,,,0
봉선사천,2020,5,2회차,8.5,1.0,2.8,1.9,,11.1,,,,1
탄천2,2020,5,1회차,7.9,5.8,8.0,5.9,,9.0,,,,0
오산천2,2020,5,1회차,7.4,3.9,8.1,5.8,,8.1,,,,0
서호1,2020,5,1회차,9.1,7.9,13.6,9.1,,13.2,,,,0
신갈지1,2020,5,1회차,8.6,4.2,8.2,5.9,,10.9,,,,0
황룡강3-1,2020,5,2회차,7.2,4.2,9.2,6.4,,8.8,,,,0
지석천4,2020,5,3회차,6.9,1.5,6.9,5.1,,8.7,,,,1
풍영정천,2020,5,3회차,6.9,3.0,9.9,8.2,,7.9,,,,0
광주천2,2020,5,2회차,6.9,4.3,7.6,5.1,,9.9,,,,0
악양,2020,5,3회차,8.2,1.0,4.7,3.2,,8.8,,,,1
만봉천,2020,5,4회차,7.1,4.4,9.7,7.0,,8.2,,,,0
무안2,2020,5,1회차,7.6,2.2,7.0,4.8,,7.5,,,,0
동복천1,2020,5,4회차,6.8,1.6,5.2,3.3,,10.1,,,,1
탐진강3,2020,5,3회차,7.5,1.2,5.3,3.5,,10.0,,,,1
임실,2020,5,2회차,7.4,0.8,4.4,2.9,,9.0,,,,1
임실,2020,5,3회차,7.6,0.7,3.9,2.7,,9.5,,,,1
수영강4,2020,5,1회차,7.3,1.6,3.8,2.6,,3.7,,,,1
서낙동강4,2020,5,1회차,7.9,6.3,10.7,5.4,,9.4,,,,0
제원,2020,5,1회차,7.4,1.4,4.0,2.4,,8.9,,,,1
미호천4,2020,5,1회차,7.6,5.0,11.3,6.1,,9.1,,,,0
월하천,2020,5,1회차,7.3,1.3,5.4,3.0,,9.6,,,,1
곰나루,2020,5,3회차,7.3,5.0,10.2,5.1,,8.6,,,,0
공릉천-2,2020,5,1회차,8.4,2.6,6.2,2.7,,10.3,,,,0
설문천,2020,5,4회차,7.7,2.7,6.6,2.9,,6.4,,,,0
신천1-1,2020,5,1회차,8.9,5.1,9.0,4.1,,11.9,,,,0
밀양댐1,2020,5,15,7.2,1.0,2.5,1.6,,9.6,,,,1
